order_id,supplier_id,material_id,quantity,delivered_qty,accepted_qty,rejected_qty,order_date,expected_delivery,actual_delivery,delay_days,delayed,partial_delivery,quality_issue,backup_used,jit_triggered,unit_price,transport_cost,storage_cost,total_cost,weather_risk,month,season
O0013,S5,M1,854,854,854,0,2025-11-27,2025-12-04,2025-12-04,0,0,0,0,0,0,86.92,1320.0,0.0,75552.6,0.1,11,Peak
O0014,S1,M5,1261,1261,1261,0,2025-05-27,2025-05-31,2025-05-31,0,0,0,0,0,0,96.04,800.0,0.0,121900.41,0.1,5,Normal
O0015,S3,M6,982,982,982,0,2024-06-14,2024-06-22,2024-06-22,0,0,0,0,0,0,76.93,2160.0,0.0,77706.49,0.35,6,Normal
O0016,S5,M4,474,474,474,0,2024-02-29,2024-03-05,2024-03-13,8,1,0,0,1,0,90.29,1320.0,40.0,44159.52,0.1,2,Normal
O0017,S3,M3,614,614,614,0,2025-11-06,2025-11-15,2025-11-15,0,0,0,0,0,0,75.75,2160.0,0.0,48671.74,0.1,11,Peak
O0018,S9,M4,876,876,876,0,2025-12-31,2026-01-09,2026-01-09,0,0,0,0,0,0,79.74,2090.0,0.0,71944.45,0.1,12,Peak
O0019,S6,M1,579,579,579,0,2025-08-25,2025-08-28,2025-08-29,1,1,0,0,0,0,91.16,420.0,4.5,53208.91,0.35,8,Normal
O0020,S2,M4,1215,1215,1215,0,2024-10-12,2024-10-16,2024-10-16,0,0,0,0,0,0,85.65,500.0,0.0,104562.08,0.15,10,Peak
O0021,S4,M8,331,331,331,0,2025-02-20,2025-02-22,2025-02-22,0,0,0,0,0,0,108.82,150.0,0.0,36169.51,0.1,2,Normal
O0022,S1,M2,487,487,487,0,2024-03-03,2024-03-09,2024-03-09,0,0,0,0,0,0,95.34,800.0,0.0,47232.88,0.05,3,Normal
O0023,S3,M7,544,544,544,0,2024-07-06,2024-07-15,2024-07-15,0,0,0,0,0,0,80.78,2160.0,0.0,46102.44,0.4,7,Normal
O0024,S2,M1,974,974,974,0,2025-10-29,2025-11-01,2025-11-01,0,0,0,0,0,0,82.16,500.0,0.0,80527.39,0.15,10,Peak
O0025,S8,M8,900,900,900,0,2024-08-06,2024-08-12,2024-08-13,1,1,0,0,0,0,100.78,1890.0,6.5,92602.0,0.35,8,Normal
O0026,S8,M5,1076,1076,1076,0,2025-03-09,2025-03-18,2025-03-18,0,0,0,0,0,0,98.78,1890.0,0.0,108172.94,0.05,3,Normal
O0027,S9,M1,390,390,390,0,2024-11-17,2024-11-27,2024-11-27,0,0,0,0,0,0,85.78,2090.0,0.0,35543.57,0.1,11,Peak
O0028,S2,M3,443,443,443,0,2024-03-11,2024-03-15,2024-03-15,0,0,0,0,0,0,85.67,500.0,0.0,38452.17,0.05,3,Normal
O0029,S1,M2,624,624,624,0,2025-03-05,2025-03-11,2025-03-11,0,0,0,0,0,0,92.52,800.0,0.0,58530.93,0.05,3,Normal
O0030,S7,M3,721,539,539,0,2025-11-18,2025-12-02,2025-12-04,2,1,1,0,0,0,69.12,2700.0,7.0,39962.61,0.1,11,Peak
O0031,S9,M4,642,642,642,0,2025-06-02,2025-06-11,2025-06-11,0,0,0,0,0,0,79.19,2090.0,0.0,52932.24,0.35,6,Normal
O0032,S9,M5,1706,1706,1706,0,2025-09-18,2025-09-25,2025-09-25,0,0,0,0,0,0,78.75,2090.0,0.0,136436.49,0.25,9,Normal
O0033,S3,M5,1320,1320,1320,0,2024-04-28,2024-05-07,2024-05-07,0,0,0,0,0,0,75.69,2160.0,0.0,102068.24,0.05,4,Normal
O0034,S5,M8,969,969,873,96,2024-09-14,2024-09-19,2024-09-26,7,1,0,1,1,0,86.68,1320.0,35.0,77024.35,0.25,9,Normal
O0035,S5,M3,425,373,373,0,2025-03-28,2025-04-05,2025-04-05,0,0,1,0,0,0,86.84,1320.0,0.0,33711.88,0.05,3,Normal
O0036,S1,M6,1041,1041,1041,0,2025-08-19,2025-08-26,2025-08-31,5,1,0,0,0,0,99.49,800.0,25.0,104389.78,0.35,8,Normal
O0037,S1,M6,1170,1170,1170,0,2024-08-03,2024-08-07,2024-08-07,0,0,0,0,0,0,99.5,800.0,0.0,117216.7,0.35,8,Normal
O0038,S3,M4,1240,985,985,0,2024-06-15,2024-06-24,2024-06-24,0,0,1,0,0,0,81.36,2160.0,0.0,82299.96,0.35,6,Normal
O0039,S4,M5,1351,1351,1351,0,2024-06-12,2024-06-14,2024-06-14,0,0,0,0,0,0,101.85,150.0,0.0,137743.29,0.35,6,Normal
O0040,S8,M6,1663,1663,1663,0,2024-11-08,2024-11-15,2024-11-15,0,0,0,0,0,0,95.83,1890.0,0.0,161255.81,0.1,11,Peak
O0041,S2,M5,1541,1541,1541,0,2024-12-25,2024-12-31,2024-12-31,0,0,0,0,0,0,80.98,500.0,0.0,125297.28,0.1,12,Peak
O0042,S5,M3,723,723,723,0,2025-08-17,2025-08-24,2025-09-03,10,1,0,0,1,0,88.32,1320.0,50.0,65227.6,0.35,8,Normal
O0043,S10,M2,713,713,579,134,2025-01-29,2025-02-04,2025-02-04,0,0,0,1,0,0,93.36,1610.0,0.0,55664.05,0.1,1,Normal
O0044,S4,M6,461,461,461,0,2025-03-17,2025-03-21,2025-03-21,0,0,0,0,0,0,109.2,150.0,0.0,50491.43,0.05,3,Normal
O0045,S9,M5,1271,1271,1271,0,2025-11-13,2025-11-23,2025-11-23,0,0,0,0,0,0,83.35,2090.0,0.0,108030.93,0.1,11,Peak
O0046,S7,M3,553,339,339,0,2025-09-22,2025-10-06,2025-10-06,0,0,1,0,0,0,72.58,2700.0,0.0,27303.23,0.25,9,Normal
O0047,S6,M8,508,508,508,0,2025-03-28,2025-03-31,2025-03-31,0,0,0,0,0,0,90.08,420.0,0.0,46178.84,0.05,3,Normal
O0048,S2,M5,1222,1222,1222,0,2025-06-11,2025-06-16,2025-06-20,4,1,0,0,0,0,82.44,500.0,16.0,101260.86,0.35,6,Normal
O0049,S1,M1,853,853,853,0,2024-09-07,2024-09-11,2024-09-11,0,0,0,0,0,0,97.07,800.0,0.0,83604.37,0.25,9,Normal
O0050,S7,M8,357,357,357,0,2025-02-13,2025-02-24,2025-02-24,0,0,0,0,0,0,74.0,2700.0,0.0,29119.65,0.1,2,Normal
O0051,S4,M3,618,618,618,0,2025-12-13,2025-12-15,2025-12-15,0,0,0,0,0,0,101.15,150.0,0.0,62660.74,0.1,12,Peak
O0052,S8,M6,901,901,901,0,2025-03-29,2025-04-07,2025-04-07,0,0,0,0,0,0,100.39,1890.0,0.0,92339.43,0.05,3,Normal
O0053,S8,M8,863,863,863,0,2024-09-22,2024-09-30,2024-09-30,0,0,0,0,0,0,95.79,1890.0,0.0,84557.68,0.25,9,Normal
O0054,S2,M5,848,475,475,0,2024-08-28,2024-09-02,2024-09-02,0,0,1,0,0,0,82.05,500.0,0.0,39473.2,0.35,8,Normal
O0055,S4,M2,435,435,435,0,2025-02-28,2025-03-05,2025-03-05,0,0,0,0,0,0,109.25,150.0,0.0,47674.1,0.1,2,Normal
O0056,S10,M1,484,484,484,0,2025-08-12,2025-08-17,2025-08-17,0,0,0,0,0,0,96.64,1610.0,0.0,48384.86,0.35,8,Normal
O0057,S7,M4,575,575,575,0,2025-05-14,2025-05-28,2025-05-28,0,0,0,0,0,0,74.15,2700.0,0.0,45334.31,0.1,5,Normal
O0058,S3,M8,888,888,888,0,2024-05-10,2024-05-18,2024-05-18,0,0,0,0,0,0,74.75,2160.0,0.0,68542.25,0.1,5,Normal
O0059,S7,M3,291,291,291,0,2025-04-17,2025-04-30,2025-04-30,0,0,0,0,0,1,73.88,2700.0,0.0,24199.33,0.05,4,Normal
O0060,S7,M5,677,677,547,130,2025-03-07,2025-03-18,2025-03-18,0,0,0,1,0,0,70.01,2700.0,0.0,40997.88,0.05,3,Normal
O0061,S2,M1,579,579,579,0,2024-02-01,2024-02-05,2024-02-05,0,0,0,0,0,0,84.78,500.0,0.0,49584.88,0.1,2,Normal
O0062,S2,M4,911,911,911,0,2025-04-21,2025-04-26,2025-05-06,10,1,0,0,1,0,87.36,500.0,40.0,80126.08,0.05,4,Normal
O0063,S3,M5,1024,1024,1024,0,2024-04-20,2024-04-30,2024-04-30,0,0,0,0,0,0,81.44,2160.0,0.0,85558.11,0.05,4,Normal
O0064,S4,M2,785,785,785,0,2025-08-29,2025-09-01,2025-09-01,0,0,0,0,0,0,106.05,150.0,0.0,83402.64,0.35,8,Normal
O0065,S2,M1,697,465,465,0,2024-12-21,2024-12-26,2025-01-01,6,1,1,0,1,0,84.43,500.0,24.0,39786.25,0.1,12,Peak
O0066,S6,M8,528,528,528,0,2025-12-25,2025-12-28,2025-12-28,0,0,0,0,0,0,90.71,420.0,0.0,48316.02,0.1,12,Peak
O0067,S9,M8,533,533,533,0,2025-04-21,2025-04-30,2025-04-30,0,0,0,0,0,0,80.19,2090.0,0.0,44829.78,0.05,4,Normal
O0068,S8,M4,813,813,813,0,2025-04-20,2025-04-29,2025-04-29,0,0,0,0,0,0,97.88,1890.0,0.0,81464.81,0.05,4,Normal
O0069,S6,M5,1052,1052,1052,0,2024-12-14,2024-12-18,2024-12-18,0,0,0,0,0,0,85.72,420.0,0.0,90601.58,0.1,12,Peak
O0070,S7,M8,754,754,754,0,2025-07-22,2025-08-05,2025-08-05,0,0,0,0,0,0,69.07,2700.0,0.0,54778.77,0.4,7,Normal
O0071,S4,M7,702,702,702,0,2025-12-09,2025-12-13,2025-12-13,0,0,0,0,0,0,107.58,150.0,0.0,75672.79,0.1,12,Peak
O0072,S6,M6,1158,1158,1158,0,2025-12-20,2025-12-24,2025-12-24,0,0,0,0,0,0,84.65,420.0,0.0,98447.11,0.1,12,Peak
O0073,S9,M3,322,322,322,0,2024-07-15,2024-07-25,2024-08-04,10,1,0,0,1,0,80.22,2090.0,55.0,27976.03,0.4,7,Normal
O0074,S2,M4,756,756,756,0,2024-10-30,2024-11-03,2024-11-03,0,0,0,0,0,0,81.14,500.0,0.0,61839.48,0.15,10,Peak
O0075,S1,M5,1949,1196,1196,0,2025-12-15,2025-12-22,2025-12-22,0,0,1,0,0,0,93.49,800.0,0.0,112610.1,0.1,12,Peak
O0076,S1,M5,614,614,614,0,2025-05-04,2025-05-08,2025-05-08,0,0,0,0,0,0,90.76,800.0,0.0,56526.2,0.1,5,Normal
O0077,S3,M5,1344,1344,1344,0,2024-03-28,2024-04-05,2024-04-05,0,0,0,0,0,0,78.92,2160.0,0.0,108233.4,0.05,3,Normal
O0078,S9,M7,936,936,936,0,2025-04-06,2025-04-15,2025-04-15,0,0,0,0,0,0,82.99,2090.0,0.0,79770.91,0.05,4,Normal
O0079,S10,M2,675,675,675,0,2024-07-31,2024-08-07,2024-08-07,0,0,0,0,0,0,89.05,1610.0,0.0,61717.47,0.4,7,Normal
O0080,S1,M7,790,790,790,0,2025-04-06,2025-04-13,2025-04-13,0,0,0,0,0,0,96.93,800.0,0.0,77373.42,0.05,4,Normal
O0081,S8,M2,594,594,594,0,2025-12-04,2025-12-12,2025-12-12,0,0,0,0,0,0,102.25,1890.0,0.0,62626.47,0.1,12,Peak
O0082,S7,M2,434,434,402,32,2025-07-11,2025-07-23,2025-07-23,0,0,0,1,0,0,70.61,2700.0,0.0,31087.15,0.4,7,Normal
O0083,S10,M5,561,561,561,0,2025-03-25,2025-04-01,2025-04-01,0,0,0,0,0,0,92.94,1610.0,0.0,53750.63,0.05,3,Normal
O0084,S2,M1,555,555,555,0,2025-03-18,2025-03-23,2025-03-27,4,1,0,0,0,0,85.64,500.0,16.0,48045.75,0.05,3,Normal
O0085,S1,M5,594,594,594,0,2025-08-13,2025-08-18,2025-08-18,0,0,0,0,0,0,91.97,800.0,0.0,55432.64,0.35,8,Normal
O0086,S10,M7,1195,1195,1195,0,2025-10-12,2025-10-17,2025-10-17,0,0,0,0,0,0,89.32,1610.0,0.0,108350.72,0.15,10,Peak
O0087,S3,M6,859,859,859,0,2025-02-25,2025-03-07,2025-03-07,0,0,0,0,0,0,74.39,2160.0,0.0,66057.78,0.1,2,Normal
O0088,S2,M6,852,852,699,153,2024-09-15,2024-09-21,2024-09-21,0,0,0,1,0,0,84.68,500.0,0.0,59689.08,0.25,9,Normal
O0089,S1,M4,723,723,723,0,2025-06-14,2025-06-21,2025-06-21,0,0,0,0,0,0,95.47,800.0,0.0,69823.07,0.35,6,Normal
O0090,S5,M8,797,797,797,0,2025-12-16,2025-12-21,2025-12-21,0,0,0,0,0,0,86.93,1320.0,0.0,70599.55,0.1,12,Peak
O0091,S9,M1,453,453,453,0,2025-07-19,2025-07-27,2025-07-27,0,0,0,0,0,0,78.86,2090.0,0.0,37815.04,0.4,7,Normal
O0092,S3,M8,786,786,786,0,2024-10-25,2024-11-04,2024-11-04,0,0,0,0,0,0,77.66,2160.0,0.0,63203.07,0.15,10,Peak
O0093,S3,M7,995,995,995,0,2024-07-14,2024-07-23,2024-07-23,0,0,0,0,0,0,77.34,2160.0,0.0,79109.87,0.4,7,Normal
O0094,S9,M5,665,665,665,0,2024-01-03,2024-01-12,2024-01-12,0,0,0,0,0,0,85.0,2090.0,0.0,58611.77,0.1,1,Normal
O0095,S8,M8,674,674,674,0,2024-12-19,2024-12-28,2024-12-28,0,0,0,0,0,0,99.94,1890.0,0.0,69246.52,0.1,12,Peak
O0096,S10,M7,1044,1044,1044,0,2024-08-27,2024-09-04,2024-09-12,8,1,0,0,1,0,91.94,1610.0,38.4,97634.32,0.35,8,Normal
O0097,S3,M8,300,300,300,0,2024-02-07,2024-02-17,2024-02-17,0,0,0,0,0,1,78.2,2160.0,0.0,25620.73,0.1,2,Normal
O0098,S8,M1,454,454,454,0,2024-05-27,2024-06-03,2024-06-08,5,1,0,0,0,0,99.47,1890.0,32.5,47081.15,0.1,5,Normal
O0099,S6,M7,1104,582,582,0,2024-11-20,2024-11-25,2024-11-25,0,0,1,0,0,0,91.7,420.0,0.0,53791.83,0.1,11,Peak
O0100,S4,M2,798,798,798,0,2025-03-20,2025-03-22,2025-03-22,0,0,0,0,0,0,100.23,150.0,0.0,80135.86,0.05,3,Normal
O0101,S1,M5,743,743,743,0,2025-01-02,2025-01-07,2025-01-07,0,0,0,0,0,0,91.96,800.0,0.0,69126.68,0.1,1,Normal
O0102,S3,M2,945,945,945,0,2025-09-16,2025-09-25,2025-09-25,0,0,0,0,0,0,79.08,2160.0,0.0,76886.5,0.25,9,Normal
O0103,S8,M5,713,713,713,0,2025-11-13,2025-11-22,2025-11-22,0,0,0,0,0,0,97.43,1890.0,0.0,71356.84,0.1,11,Peak
O0104,S6,M5,1900,1900,1900,0,2025-10-16,2025-10-20,2025-10-20,0,0,0,0,0,0,91.11,420.0,0.0,173527.77,0.15,10,Peak
O0105,S2,M4,728,728,728,0,2025-01-25,2025-01-30,2025-01-30,0,0,0,0,0,0,86.34,500.0,0.0,63359.13,0.1,1,Normal
O0106,S5,M1,750,750,750,0,2025-08-02,2025-08-07,2025-08-07,0,0,0,0,0,0,93.63,1320.0,0.0,71539.81,0.35,8,Normal
O0107,S4,M6,1125,1125,1125,0,2024-08-12,2024-08-16,2024-08-16,0,0,0,0,0,0,108.55,150.0,0.0,122271.61,0.35,8,Normal
O0108,S2,M1,902,902,902,0,2024-11-12,2024-11-15,2024-11-15,0,0,0,0,0,0,83.26,500.0,0.0,75599.11,0.1,11,Peak
O0109,S7,M3,284,284,284,0,2024-07-24,2024-08-06,2024-08-06,0,0,0,0,0,1,70.25,2700.0,0.0,22651.05,0.4,7,Normal
O0110,S8,M5,1760,1760,1760,0,2024-12-12,2024-12-21,2024-12-21,0,0,0,0,0,0,101.53,1890.0,0.0,180581.71,0.1,12,Peak
O0111,S7,M6,1103,1103,1103,0,2024-04-02,2024-04-13,2024-04-15,2,1,0,0,0,0,73.24,2700.0,7.0,83491.66,0.05,4,Normal
O0112,S10,M7,1310,1310,1310,0,2025-10-15,2025-10-20,2025-10-20,0,0,0,0,0,0,97.12,1610.0,0.0,128839.13,0.15,10,Peak
O0113,S6,M4,585,585,585,0,2025-10-25,2025-10-30,2025-10-30,0,0,0,0,0,0,84.83,420.0,0.0,50045.57,0.15,10,Peak
O0114,S1,M5,616,616,616,0,2025-05-19,2025-05-24,2025-05-24,0,0,0,0,0,0,96.62,800.0,0.0,60317.69,0.1,5,Normal
O0115,S9,M7,956,956,956,0,2025-08-24,2025-09-01,2025-09-01,0,0,0,0,0,0,82.95,2090.0,0.0,81388.62,0.35,8,Normal
O0116,S5,M1,587,587,587,0,2025-12-07,2025-12-15,2025-12-15,0,0,0,0,0,0,94.33,1320.0,0.0,56690.74,0.1,12,Peak
O0117,S6,M6,727,727,727,0,2024-03-03,2024-03-06,2024-03-06,0,0,0,0,0,0,84.41,420.0,0.0,61783.69,0.05,3,Normal
O0118,S4,M1,514,514,514,0,2024-02-21,2024-02-24,2024-02-24,0,0,0,0,0,0,108.46,150.0,0.0,55900.03,0.1,2,Normal
O0119,S9,M4,630,630,630,0,2025-08-23,2025-08-31,2025-08-31,0,0,0,0,0,0,77.92,2090.0,0.0,51181.65,0.35,8,Normal
O0120,S3,M3,337,337,337,0,2025-07-07,2025-07-16,2025-07-17,1,1,0,0,0,0,80.25,2160.0,6.0,29210.17,0.4,7,Normal
O0121,S10,M6,515,515,515,0,2024-01-17,2024-01-22,2024-01-29,7,1,0,0,1,0,92.78,1610.0,33.6,49424.83,0.1,1,Normal
O0122,S6,M2,572,572,572,0,2025-04-07,2025-04-09,2025-04-09,0,0,0,0,0,0,86.25,420.0,0.0,49757.49,0.05,4,Normal
O0123,S1,M1,673,673,673,0,2025-05-05,2025-05-12,2025-05-12,0,0,0,0,0,0,90.95,800.0,0.0,62008.11,0.1,5,Normal
O0124,S2,M6,671,671,671,0,2025-09-14,2025-09-18,2025-09-28,10,1,0,0,1,0,89.2,500.0,40.0,60396.11,0.25,9,Normal
O0125,S9,M5,955,955,955,0,2025-04-09,2025-04-19,2025-04-21,2,1,0,0,0,0,84.21,2090.0,11.0,82517.25,0.05,4,Normal
O0126,S4,M7,923,923,923,0,2025-04-07,2025-04-12,2025-04-12,0,0,0,0,0,0,100.75,150.0,0.0,93140.77,0.05,4,Normal
O0127,S7,M6,951,951,892,59,2025-11-12,2025-11-24,2025-11-24,0,0,0,1,0,0,71.51,2700.0,0.0,66486.48,0.1,11,Peak
O0128,S6,M3,251,251,251,0,2025-07-23,2025-07-27,2025-07-27,0,0,0,0,0,1,91.88,420.0,0.0,23482.37,0.4,7,Normal
O0129,S7,M1,715,715,715,0,2024-10-21,2024-11-03,2024-11-12,9,1,0,0,1,0,70.01,2700.0,31.5,52791.91,0.15,10,Peak
O0130,S2,M6,780,780,780,0,2025-07-23,2025-07-28,2025-07-28,0,0,0,0,0,0,89.03,500.0,0.0,69946.24,0.4,7,Normal
O0131,S10,M1,821,821,821,0,2025-09-15,2025-09-22,2025-09-27,5,1,0,0,0,0,91.51,1610.0,24.0,76764.01,0.25,9,Normal
O0132,S1,M3,479,479,479,0,2024-05-26,2024-06-02,2024-06-03,1,1,0,0,0,0,93.82,800.0,5.0,45746.62,0.1,5,Normal
O0133,S8,M6,822,822,822,0,2024-06-10,2024-06-18,2024-06-18,0,0,0,0,0,0,93.62,1890.0,0.0,78842.0,0.35,6,Normal
O0134,S3,M1,407,407,407,0,2025-11-21,2025-12-02,2025-12-02,0,0,0,0,0,0,76.23,2160.0,0.0,33185.9,0.1,11,Peak
O0135,S9,M2,753,753,753,0,2024-12-19,2024-12-28,2024-12-28,0,0,0,0,0,0,80.43,2090.0,0.0,62653.07,0.1,12,Peak
O0136,S4,M7,446,446,446,0,2025-09-05,2025-09-08,2025-09-08,0,0,0,0,0,0,102.43,150.0,0.0,45835.1,0.25,9,Normal
O0137,S6,M2,508,508,508,0,2024-01-08,2024-01-13,2024-01-13,0,0,0,0,0,0,88.0,420.0,0.0,45125.17,0.1,1,Normal
O0138,S6,M2,653,653,653,0,2025-02-10,2025-02-12,2025-02-12,0,0,0,0,0,0,86.35,420.0,0.0,56809.77,0.1,2,Normal
O0139,S7,M7,1077,1077,1077,0,2025-12-27,2026-01-09,2026-01-10,1,1,0,0,0,0,75.22,2700.0,3.5,83718.48,0.1,12,Peak
O0140,S8,M6,758,758,758,0,2024-03-31,2024-04-06,2024-04-06,0,0,0,0,0,0,96.98,1890.0,0.0,75399.71,0.05,3,Normal
O0141,S5,M6,824,824,824,0,2024-08-14,2024-08-20,2024-08-22,2,1,0,0,0,0,92.49,1320.0,10.0,77538.51,0.35,8,Normal
O0142,S6,M3,298,298,298,0,2024-08-29,2024-09-02,2024-09-02,0,0,0,0,0,1,89.37,420.0,0.0,27051.81,0.35,8,Normal
O0143,S3,M8,715,715,715,0,2025-04-20,2025-05-01,2025-05-01,0,0,0,0,0,0,81.79,2160.0,0.0,60643.39,0.05,4,Normal
O0144,S6,M6,888,888,888,0,2024-06-03,2024-06-08,2024-06-08,0,0,0,0,0,0,84.09,420.0,0.0,75095.75,0.35,6,Normal
O0145,S9,M2,807,682,682,0,2024-11-13,2024-11-20,2024-11-25,5,1,1,0,0,0,82.94,2090.0,27.5,58684.67,0.1,11,Peak
O0146,S9,M7,718,718,718,0,2025-04-18,2025-04-25,2025-04-25,0,0,0,0,0,0,80.54,2090.0,0.0,59915.22,0.05,4,Normal
O0147,S8,M3,384,384,384,0,2024-03-04,2024-03-12,2024-03-12,0,0,0,0,0,0,93.48,1890.0,0.0,37787.7,0.05,3,Normal
O0148,S8,M8,644,644,644,0,2025-06-20,2025-06-27,2025-06-27,0,0,0,0,0,0,100.69,1890.0,0.0,66734.2,0.35,6,Normal
O0149,S10,M1,745,745,745,0,2025-10-08,2025-10-13,2025-10-13,0,0,0,0,0,0,90.69,1610.0,0.0,69176.7,0.15,10,Peak
O0150,S10,M3,353,353,353,0,2024-12-07,2024-12-13,2024-12-13,0,0,0,0,0,0,94.51,1610.0,0.0,34971.27,0.1,12,Peak
O0151,S3,M2,889,889,889,0,2024-11-13,2024-11-23,2024-11-23,0,0,0,0,0,0,79.86,2160.0,0.0,73157.71,0.1,11,Peak
O0152,S9,M2,912,912,912,0,2025-10-23,2025-11-01,2025-11-06,5,1,0,0,0,0,85.67,2090.0,27.5,80249.34,0.15,10,Peak
O0153,S8,M4,1319,1319,1319,0,2024-08-19,2024-08-26,2024-08-28,2,1,0,0,0,0,100.34,1890.0,13.0,134249.76,0.35,8,Normal
O0154,S9,M1,585,585,585,0,2025-11-08,2025-11-16,2025-11-16,0,0,0,0,0,0,83.58,2090.0,0.0,50985.08,0.1,11,Peak
O0155,S10,M3,220,220,220,0,2025-03-24,2025-03-31,2025-03-31,0,0,0,0,0,1,91.0,1610.0,0.0,21629.96,0.05,3,Normal
O0156,S8,M4,620,620,620,0,2025-06-30,2025-07-09,2025-07-09,0,0,0,0,0,0,98.69,1890.0,0.0,63077.87,0.35,6,Normal
O0157,S8,M8,996,996,996,0,2024-10-15,2024-10-24,2024-10-24,0,0,0,0,0,0,94.46,1890.0,0.0,95968.48,0.15,10,Peak
O0158,S5,M1,637,534,534,0,2025-10-18,2025-10-25,2025-10-25,0,0,1,0,0,0,88.07,1320.0,0.0,48347.01,0.15,10,Peak
O0159,S3,M5,1335,1335,1335,0,2025-04-05,2025-04-14,2025-04-14,0,0,0,0,0,0,80.47,2160.0,0.0,109587.83,0.05,4,Normal
O0160,S6,M1,221,221,221,0,2025-02-28,2025-03-04,2025-03-04,0,0,0,0,0,1,83.85,420.0,0.0,18950.42,0.1,2,Normal
O0161,S2,M6,573,573,573,0,2024-05-29,2024-06-03,2024-06-03,0,0,0,0,0,0,87.2,500.0,0.0,50465.69,0.1,5,Normal
O0162,S8,M8,348,348,348,0,2025-09-22,2025-09-28,2025-10-02,4,1,0,0,0,0,100.23,1890.0,26.0,36794.96,0.25,9,Normal
O0163,S9,M7,848,566,566,0,2024-04-23,2024-05-01,2024-05-01,0,0,1,0,0,0,81.65,2090.0,0.0,48302.96,0.05,4,Normal
O0164,S2,M8,714,714,641,73,2025-09-03,2025-09-07,2025-09-07,0,0,0,1,0,0,85.6,500.0,0.0,55370.01,0.25,9,Normal
O0165,S3,M2,929,929,929,0,2025-06-20,2025-06-28,2025-06-28,0,0,0,0,0,0,78.06,2160.0,0.0,74677.23,0.35,6,Normal
O0166,S1,M7,361,361,361,0,2025-04-26,2025-05-03,2025-05-03,0,0,0,0,0,0,97.74,800.0,0.0,36084.48,0.05,4,Normal
O0167,S6,M4,1263,1263,1263,0,2025-11-03,2025-11-07,2025-11-07,0,0,0,0,0,0,89.26,420.0,0.0,113151.09,0.1,11,Peak
O0168,S8,M8,532,532,532,0,2025-10-08,2025-10-15,2025-10-23,8,1,0,0,1,0,100.85,1890.0,52.0,55595.73,0.15,10,Peak
O0169,S1,M6,1279,1279,1279,0,2024-11-13,2024-11-20,2024-11-20,0,0,0,0,0,0,93.64,800.0,0.0,120567.16,0.1,11,Peak
O0170,S1,M6,730,730,730,0,2024-10-06,2024-10-12,2024-10-12,0,0,0,0,0,0,99.34,800.0,0.0,73315.68,0.15,10,Peak
O0171,S6,M3,536,536,536,0,2025-05-23,2025-05-27,2025-05-27,0,0,0,0,0,0,90.0,420.0,0.0,48659.1,0.1,5,Normal
O0172,S2,M7,1203,1203,1203,0,2025-09-08,2025-09-12,2025-09-12,0,0,0,0,0,0,86.37,500.0,0.0,104400.48,0.25,9,Normal
O0173,S5,M8,840,840,689,151,2025-09-09,2025-09-15,2025-09-15,0,0,0,1,0,0,88.67,1320.0,0.0,62415.72,0.25,9,Normal
